group,n,base_rate,selection_rate,TP,FP,TN,FN,TPR,FPR,FNR,PPV,NPV,reference_group,disparate_impact,four_fifths_rule_pass
sex=Male|race=White,9561,0.31126451208032635,0.5376006693860474,2715,2425,4160,261,0.9122983870967742,0.3682611996962794,0.08770161290322581,0.5282101167315175,0.9409635828997964,sex=Male|race=White,1.0,True
sex=Female|race=White,4385,0.11721778791334093,0.1573546180159635,384,306,3565,130,0.7470817120622568,0.07904934125548954,0.2529182879377432,0.5565217391304348,0.9648173207036536,sex=Male|race=White,0.2926979577530403,False
sex=Male|race=Black,808,0.16955445544554457,0.3217821782178218,127,133,538,10,0.927007299270073,0.19821162444113263,0.072992700729927,0.48846153846153845,0.9817518248175182,sex=Male|race=White,0.5985524136071195,False
sex=Female|race=Black,753,0.055776892430278883,0.0849933598937583,27,37,674,15,0.6428571428571429,0.052039381153305204,0.35714285714285715,0.421875,0.9782293178519593,sex=Male|race=White,0.1580975708062691,False
sex=Male|race=Asian-Pac-Islander,309,0.34627831715210355,0.5436893203883495,96,72,130,11,0.897196261682243,0.3564356435643564,0.102803738317757,0.5714285714285714,0.9219858156028369,sex=Male|race=White,1.0113256016017529,True
sex=Female|race=Asian-Pac-Islander,171,0.15204678362573099,0.21052631578947367,18,18,127,8,0.6923076923076923,0.12413793103448276,0.3076923076923077,0.5,0.9407407407407408,sex=Male|race=White,0.3916035224247389,False
sex=Male|race=Amer-Indian-Eskimo,93,0.17204301075268819,0.40860215053763443,16,22,55,0,1.0,0.2857142857142857,0.0,0.42105263157894735,1.0,sex=Male|race=White,0.7600476967490901,False
sex=Male|race=Other,89,0.2247191011235955,0.2808988764044944,18,7,62,2,0.9,0.10144927536231885,0.1,0.72,0.96875,sex=Male|race=White,0.5225046998644691,False
sex=Female|race=Amer-Indian-Eskimo,66,0.045454545454545456,0.12121212121212122,3,5,58,0,1.0,0.07936507936507936,0.0,0.375,1.0,sex=Male|race=White,0.22546869472939515,False
sex=Female|race=Other,46,0.10869565217391304,0.13043478260869565,5,1,40,0,1.0,0.024390243902439025,0.0,0.8333333333333334,1.0,sex=Male|race=White,0.2426239215022839,False
